<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20210104;000000;212.7100000;216.6300000;211.6400000;212.7100000;55195430
GAZP;D;20210105;000000;213.2000000;215.3800000;210.2200000;215.3200000;48913740
GAZP;D;20210106;000000;215.4800000;216.8000000;213.0700000;214.3800000;47897590
GAZP;D;20210108;000000;217.1400000;226.2400000;217.0000000;225.4900000;100717800
GAZP;D;20210111;000000;225.0500000;231.0000000;221.8100000;227.6000000;112506470
GAZP;D;20210112;000000;229.0000000;231.4400000;225.6600000;228.6900000;64309460
GAZP;D;20210113;000000;229.2900000;230.3500000;225.2000000;226.8000000;61102300
GAZP;D;20210114;000000;226.4900000;229.5700000;223.2000000;228.8600000;60003270
GAZP;D;20210115;000000;227.5000000;230.7000000;226.0000000;226.5000000;54765970
GAZP;D;20210118;000000;225.5500000;228.5000000;221.3400000;226.8800000;69147920
GAZP;D;20210119;000000;227.6600000;228.8500000;223.0000000;223.1500000;66619900
GAZP;D;20210120;000000;223.0000000;225.7800000;221.5500000;224.3000000;51248650
GAZP;D;20210121;000000;224.4000000;224.9600000;217.2200000;217.2800000;76701270
GAZP;D;20210122;000000;216.4500000;216.5000000;210.5000000;215.4900000;94721320
GAZP;D;20210125;000000;216.9000000;219.6600000;214.5300000;218.6800000;74456540
GAZP;D;20210126;000000;216.8000000;220.2900000;215.7100000;218.8000000;45114650
GAZP;D;20210127;000000;219.4900000;222.0000000;216.4400000;217.4000000;59271760
GAZP;D;20210128;000000;215.9100000;219.4900000;214.2600000;217.7000000;52341000
GAZP;D;20210129;000000;216.7500000;216.7500000;212.4700000;212.8300000;66744580
GAZP;D;20210201;000000;214.6100000;214.8700000;212.2400000;214.6600000;39314420
GAZP;D;20210202;000000;215.5000000;219.7400000;213.2500000;214.4200000;77924880
GAZP;D;20210203;000000;215.4100000;218.4200000;213.7900000;218.1000000;45974890
GAZP;D;20210204;000000;218.7100000;221.4000000;216.8800000;219.7900000;47881150
GAZP;D;20210205;000000;220.6800000;222.2100000;219.0000000;222.0100000;42127830
GAZP;D;20210208;000000;223.0600000;228.0000000;223.0000000;228.0000000;67144040
GAZP;D;20210209;000000;229.0000000;229.4900000;225.8000000;227.7300000;60518190
GAZP;D;20210210;000000;227.9800000;228.2900000;221.8000000;223.2400000;41883700
GAZP;D;20210211;000000;223.4500000;223.6700000;220.7300000;221.3500000;34480880
GAZP;D;20210212;000000;220.7800000;227.4700000;216.7700000;226.7100000;69179250
GAZP;D;20210215;000000;228.4900000;230.0000000;226.7000000;229.2200000;59793600
GAZP;D;20210216;000000;229.9500000;233.2200000;227.5700000;232.4600000;85667580
GAZP;D;20210217;000000;232.3200000;233.3500000;225.3300000;229.1400000;64532970
GAZP;D;20210218;000000;228.9800000;228.9800000;224.0100000;224.4700000;43762150
GAZP;D;20210219;000000;224.0200000;226.2600000;221.1000000;226.0000000;44854360
GAZP;D;20210220;000000;226.3500000;227.1000000;225.0000000;225.8400000;6053880
GAZP;D;20210222;000000;226.4900000;227.3000000;223.0400000;225.6300000;31412770
GAZP;D;20210224;000000;224.4200000;225.6400000;220.8500000;222.5500000;40792480
GAZP;D;20210225;000000;223.4700000;225.5000000;221.2200000;221.7000000;42722110
GAZP;D;20210226;000000;220.5600000;221.6800000;217.2000000;217.5600000;63735100
GAZP;D;20210301;000000;219.3400000;222.0100000;218.2500000;221.4700000;28373590
GAZP;D;20210302;000000;220.0000000;224.1100000;219.7600000;222.7400000;34140160
GAZP;D;20210303;000000;224.2000000;226.7900000;221.7000000;222.1500000;33225100
GAZP;D;20210304;000000;221.8800000;226.6900000;219.5000000;221.1400000;46417010
GAZP;D;20210305;000000;222.0500000;228.4200000;220.0200000;227.0000000;55786000
GAZP;D;20210309;000000;227.5100000;233.0700000;226.0500000;232.1000000;73759850
GAZP;D;20210310;000000;231.8300000;235.5000000;230.6600000;231.6900000;55372950
GAZP;D;20210311;000000;232.8300000;233.5300000;230.0700000;232.4700000;32131810
GAZP;D;20210312;000000;232.0100000;234.3900000;230.6000000;233.8000000;28819550
GAZP;D;20210315;000000;234.9800000;238.0900000;234.4600000;237.7900000;46121290
GAZP;D;20210316;000000;237.3000000;238.2300000;233.8000000;234.0200000;38029020
GAZP;D;20210317;000000;234.0000000;234.5600000;227.2100000;229.9000000;62072590
GAZP;D;20210318;000000;230.0500000;231.7900000;223.7000000;224.3500000;67581990
GAZP;D;20210319;000000;223.0500000;226.6400000;222.3700000;225.4000000;58484100
GAZP;D;20210322;000000;225.1400000;225.3400000;220.7900000;221.8800000;58491290
GAZP;D;20210323;000000;221.3500000;224.4400000;219.8100000;221.6200000;43094210
GAZP;D;20210324;000000;222.3900000;225.4500000;220.5300000;223.6500000;36700010
GAZP;D;20210325;000000;224.2000000;225.3800000;222.7000000;224.8400000;29735720
GAZP;D;20210326;000000;225.7400000;227.6000000;225.1300000;227.3000000;26672930
GAZP;D;20210329;000000;226.7900000;229.1500000;226.3100000;228.7400000;23752090
GAZP;D;20210330;000000;228.9500000;230.1000000;225.0400000;225.9300000;26818410
GAZP;D;20210331;000000;226.4000000;228.4000000;223.3200000;227.2400000;38847380
GAZP;D;20210401;000000;228.4300000;231.6700000;225.7500000;226.9400000;43823600
GAZP;D;20210402;000000;227.0000000;229.2000000;226.5400000;228.4000000;12621010
GAZP;D;20210405;000000;227.9000000;227.9200000;224.1300000;225.0600000;23919530
GAZP;D;20210406;000000;226.0100000;226.5500000;221.9100000;222.9500000;36223380
GAZP;D;20210407;000000;222.3100000;226.0100000;220.6800000;224.5100000;29483660
GAZP;D;20210408;000000;224.8400000;226.3000000;222.8800000;224.3000000;19420190
GAZP;D;20210409;000000;224.1700000;224.3000000;221.4800000;222.1500000;20902100
GAZP;D;20210412;000000;220.9500000;224.2500000;219.6000000;222.8700000;29206290
