<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20220103;000000;345.0100000;353.8800000;344.3000000;353.7300000;40057980
GAZP;D;20220104;000000;353.9900000;358.1000000;348.3500000;352.5500000;52693510
GAZP;D;20220105;000000;351.9000000;353.5000000;331.5500000;335.0000000;80969440
GAZP;D;20220106;000000;335.8000000;347.6700000;330.1100000;346.1300000;74572470
GAZP;D;20220110;000000;348.3300000;351.0000000;340.5100000;344.0000000;51047490
GAZP;D;20220111;000000;344.6800000;347.0000000;341.2700000;343.7400000;41961140
GAZP;D;20220112;000000;344.1100000;348.6400000;339.5700000;347.4300000;53443260
GAZP;D;20220113;000000;347.1100000;347.5000000;333.4900000;337.6000000;118257640
GAZP;D;20220114;000000;338.5900000;340.9600000;321.5100000;335.7600000;120546960
GAZP;D;20220117;000000;335.9100000;338.9500000;319.1700000;327.8100000;96925780
GAZP;D;20220118;000000;329.1500000;329.3000000;296.7000000;301.1100000;220096130
GAZP;D;20220119;000000;300.0000000;320.4200000;282.7200000;318.3600000;220036310
GAZP;D;20220120;000000;318.3600000;326.6900000;310.0700000;310.4200000;130261430
GAZP;D;20220121;000000;309.4900000;321.9900000;303.5000000;311.6000000;119002830
GAZP;D;20220124;000000;310.7800000;314.0000000;280.6000000;294.5900000;236346280
GAZP;D;20220125;000000;293.9000000;305.0000000;289.6200000;302.9600000;143155040
GAZP;D;20220126;000000;302.9000000;307.7000000;293.7000000;299.6000000;125060870
GAZP;D;20220127;000000;296.8500000;330.0000000;294.0000000;325.2500000;216008170
GAZP;D;20220128;000000;325.5100000;334.9000000;322.0500000;329.5800000;116166660
GAZP;D;20220131;000000;330.9200000;336.4100000;330.5200000;334.8000000;69903820
GAZP;D;20220201;000000;334.9400000;336.6300000;325.3000000;330.9500000;67998200
GAZP;D;20220202;000000;332.3900000;333.7000000;325.7000000;331.7000000;54751740
GAZP;D;20220203;000000;329.9900000;331.0000000;322.3000000;323.7500000;57592210
GAZP;D;20220204;000000;325.5000000;334.5000000;320.8800000;324.6000000;88647300
GAZP;D;20220207;000000;324.5300000;327.4400000;316.6400000;321.2500000;56290530
GAZP;D;20220208;000000;321.4500000;331.8700000;319.0000000;331.7000000;77965300
GAZP;D;20220209;000000;332.3000000;336.0000000;330.1800000;335.0800000;63254680
GAZP;D;20220210;000000;335.4100000;335.4700000;328.1000000;328.9300000;61929870
GAZP;D;20220211;000000;328.9500000;328.9500000;316.2000000;318.1000000;100750430
GAZP;D;20220214;000000;314.1000000;324.9000000;303.2500000;321.8500000;121203060
GAZP;D;20220215;000000;322.5000000;335.5000000;322.4400000;333.6000000;96875770
GAZP;D;20220216;000000;335.8600000;339.9800000;331.6200000;336.5000000;77128130
